12:52:19 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:19 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:19 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:19 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:20 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:20 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:20 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:20 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:20 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:20 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:20 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:20 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:20 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:20 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:20 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:20 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:20 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:20 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:20 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:20 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:20 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:20 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:20 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:20 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:20 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:20 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:20 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:20 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:20 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:20 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:20 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:20 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:20 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:20 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:21 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:21 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:21 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
